t,S(t),C(t),A_spiral(t),E(t),L(t),cpu_step(t),effort(t),An_mean(t),fn_mean(t),variance_d2S,fluidity,entropy_S,mean_abs_error,mean_high_effort,d_effort_dt,t_retour,max_median_ratio,continuous_resilience,adaptive_resilience,temporal_coherence,tau_S,tau_gamma,tau_C,effort_status,phi,En_mean(t),On_mean(t),gamma,gamma_mean(t),G_arch_used,In_mean(t),best_pair_gamma,best_pair_G,best_pair_score,tau_A_mean,tau_f_mean,decorrelation_time,autocorr_tau,std_S
28.6,0.0015918682163551393,0.9985137656418974,-0.00029683996592552204,0.029272348233694633,6,0.0001363416000000228,0.0618776973425044,0.029074244258511052,2.2718040915062323,1.0716466620741179e-07,0.9933071490553599,0.32817898619214636,0.010981421968743993,8.427480887067347,0.005243589631158674,0,10.77029709396229,0.8398530879561227,1.0,0.8543624308384088,1.5,0.30000000000000004,4.5,transitoire,1.618,0.011741821507330493,0.00746749211721053,0.4000000000000003,0.4052585594205211,adaptive,0.1,0.4,spiral_log,4.714285714285714,0.5440331098602347,0.39910817308313384,1.5,2.7815436462576133,8.417229404382537e-05
28.700000000000003,0.001611843454179205,0.9985175491960318,-0.00029944662950747445,0.02922333495951221,6,0.00013938330000002886,0.06491904037437833,0.02902671412536653,2.265032120159694,1.0858829151874978e-07,0.9933071490550893,0.28315952010295115,0.011079860602428746,8.427480887067347,0.03041343031873929,0,10.826456202189647,0.8398440456966412,1.0,0.854357775149254,1.5,0.30000000000000004,4.5,transitoire,1.618,0.011775879581162111,0.007462305340963715,0.4000000000000003,0.4052957329176393,adaptive,0.1,0.4,spiral_log,4.714285714285714,0.5455264719944752,0.39923745338940964,1.5,2.781536662723881,7.738763329512474e-05
28.8,0.0016283326647581733,0.9985225988278058,-0.0003007325956424295,0.029272252386073453,6,0.00013689580000000312,0.06520001636508183,0.029074249472209268,2.2582004525378707,1.038697537542157e-07,0.9933071490559856,0.23447713274218185,0.011105990609712482,8.427480887067347,0.002809759907034942,0,10.883204036349241,0.839835374089118,1.0,0.8543534586943546,1.5,0.30000000000000004,4.5,transitoire,1.618,0.01180569262721383,0.0074570993106512495,0.4000000000000003,0.40533360070920155,adaptive,0.1,0.4,spiral_log,4.714285714285714,0.54337213117012,0.3993492378893011,1.5,2.7815301880415317,7.177913986039191e-05
28.900000000000002,0.0016498866644884052,0.9985288508768995,-0.00030323910370905546,0.029221692369276263,6,0.00013945419999998875,0.06690127416346196,0.029025214503291718,2.2513169662892887,1.0629731758195775e-07,0.9933071490555246,0.18686237895026755,0.011208016540559407,8.427480887067347,0.017012577983801375,0,10.965845850855755,0.839827131706784,1.0,0.8543495165551446,1.5,0.30000000000000004,4.5,transitoire,1.618,0.01183168203295582,0.007444431924289776,0.4000000000000003,0.40539174672663136,adaptive,0.1,0.4,spiral_log,4.714285714285714,0.5447291727648664,0.39944553958692675,1.5,2.7815242748327167,6.775980298452699e-05
29.0,0.0016672124068140338,0.9985362341655877,-0.0003042416255132663,0.02927185231788077,6,0.0001436625000000191,0.06698979670797334,0.02907398360957142,2.244389481085844,1.0320877163410206e-07,0.9933071490561111,0.15340962414534454,0.011235182279471161,8.296063438723793,0.0008852254451137409,0,11.04975235313771,0.839819259212054,1.0,0.854345975484026,1.5,0.30000000000000004,4.5,transitoire,1.618,0.011853022915010326,0.0074280325353810826,0.4000000000000003,0.4054277691485632,adaptive,0.1,0.4,spiral_log,4.714285714285714,0.5436418657334784,0.3995285188411216,1.5,2.7815189632260386,6.541996321026889e-05
29.1,0.0016894657605080782,0.9985446703241065,-0.00030662075339644464,0.02921971368889121,6,0.00014166250000000603,0.06874489564403152,0.02902340254059016,2.2374256804121093,1.0402961404714857e-07,0.9933071490559553,0.14813702401430454,0.011338833456877672,8.296063438723793,0.01755098936058186,0,11.108281853373484,0.8398118082227449,1.0,0.8543428937768137,1.5,0.30000000000000004,4.5,transitoire,1.618,0.011869576287733951,0.007407800743745851,0.4000000000000003,0.4054882422731202,adaptive,0.1,0.4,spiral_log,4.714285714285714,0.544793685492915,0.3995995775207252,1.5,2.781514340665221,6.51013184303727e-05
29.200000000000003,0.0017064879920015918,0.9985540741571616,-0.0003072943925077229,0.02927531858564421,6,0.00013729170000003065,0.06234246650781566,0.029077062099598004,2.2304333305969912,1.0351305990056737e-07,0.9933071490560534,0.1685887300786103,0.011361832356646675,8.296063438723793,-0.06402429136215866,0,11.167434705977541,0.8398047139191122,1.0,0.8543402435642438,1.5,0.30000000000000004,4.5,chronique,1.618,0.011881200819298637,0.007393112066091142,0.4000000000000003,0.4055208452888216,adaptive,0.1,0.4,spiral_log,4.714285714285714,0.5444387603430669,0.3996602762630058,1.5,2.7815103653463655,6.651896989196722e-05
29.3,0.001728749842115691,0.9985643540498859,-0.0003093604925128,0.029217348353387056,6,0.00015370830000001058,0.06385958045825514,0.029021222402005487,2.2234198949801716,1.0206351038142329e-07,0.9933071490563287,0.2067502493776733,0.011468478582411453,8.296063438723793,0.015171139504394845,0,11.253829404161834,0.8397980224427308,1.0,0.8543381102464006,1.5,0.30000000000000004,4.5,chronique,1.618,0.011889286269662323,0.007352087633264517,0.4000000000000003,0.4055668869647865,adaptive,0.1,0.4,spiral_log,4.714285714285714,0.5447745864653734,0.3997116126463208,1.5,2.781507165369601,6.976514421478358e-05
29.400000000000002,0.001744767997270851,0.9985754124113413,-0.0003098235134916939,0.02927460075778331,6,0.0001385457999999673,0.06325115645828933,0.029076491969198544,2.2163930657012982,1.0235346604606947e-07,0.9933071490562737,0.24303036247918477,0.011487735044094335,8.296063438723793,-0.006084239999658153,0,11.341571276233974,0.8397916674141084,1.0,0.8543364054531801,1.5,0.30000000000000004,4.5,chronique,1.618,0.011889925421758287,0.00732609407485677,0.4000000000000003,0.40561218955652906,adaptive,0.1,0.4,spiral_log,4.714285714285714,0.5447620881931428,0.39975472578428184,1.5,2.78150460817977,7.42053648246586e-05
29.5,0.0017657482753075397,0.9985871461534429,-0.0003116987889402577,0.029214780200300827,6,0.00013692920000001328,0.06501402528995295,0.02901885828785039,2.209360034100848,1.0039103105748492e-07,0.9933071490566463,0.27763902928183576,0.011591631225457777,8.168711616722137,0.017628688316636276,0,11.402954821911578,0.839785694986843,1.0,0.8543352224725643,1.5,0.30000000000000004,4.5,chronique,1.618,0.011886294900894283,0.007277097575195901,0.4000000000000003,0.4056573923582182,adaptive,0.1,0.4,spiral_log,4.714285714285714,0.5452144009837485,0.3997903574513469,1.5,2.7815028337088465,7.98289269390902e-05
