t,delta_fn_0,fn_t_0,S_i_0,f0n_0,An_0,delta_fn_1,fn_t_1,S_i_1,f0n_1,An_1,delta_fn_2,fn_t_2,S_i_2,f0n_2,An_2,delta_fn_3,fn_t_3,S_i_3,f0n_3,An_3,delta_fn_4,fn_t_4,S_i_4,f0n_4,An_4,delta_fn_5,fn_t_5,S_i_5,f0n_5,An_5,delta_fn_6,fn_t_6,S_i_6,f0n_6,An_6,delta_fn_7,fn_t_7,S_i_7,f0n_7,An_7,delta_fn_8,fn_t_8,S_i_8,f0n_8,An_8,delta_fn_9,fn_t_9,S_i_9,f0n_9,An_9
41.7,-0.000451755707386398,0.4399799437655279,-0.000903511414772796,0.4,0.671846,0.0010317028742725654,0.7740567806876613,0.0014738612489608078,0.7,0.475858,-0.0001900993837672704,1.0126506215844258,-0.00032775755821943175,0.7,0.583804,-0.0022839321082912018,1.4552281399806317,-0.003937813979812417,1.1,0.440647,-0.0029419353548998115,1.9108487261366598,-0.004390948290895241,1.3,0.434422,0.0014683783776863932,2.428073993457917,0.0031242093142263686,1.4,0.670596,0.0017154723382955348,2.981564086718858,0.0032989852659529514,1.7,0.370922,-0.002949868789497574,3.492445632374819,-0.004402789238056081,1.9,0.46028,0.0014868684786780906,3.9079163176441125,0.0023232319979345165,1.8,0.359828,0.0,4.51415375914376,0.0,2.3,0.388752
41.800000000000004,-0.0004396649925887102,0.43998037057492406,-0.0008793299851774204,0.4,0.671846,0.0010246915962848365,0.7746635003767921,0.0014638451375497664,0.7,0.475858,-0.00018973993847290645,1.0141507293937477,-0.000327137824953287,0.7,0.583804,-0.0022919170523770043,1.4578471336819547,-0.003951581124787939,1.1,0.440647,-0.002933399030933255,1.9149414361383346,-0.004378207508855604,1.3,0.434422,0.001496458267508096,2.4342299296202325,0.0031839537606555236,1.4,0.670596,0.0016846149371216024,2.9899603534712087,0.0032396441098492355,1.7,0.370922,-0.0029511211859909623,3.5032600102370672,-0.004404658486553675,1.9,0.46028,0.0015008199738477282,3.9216327715212747,0.0023450312091370753,1.8,0.359828,0.0,4.530791104098251,0.0,2.3,0.388752
41.900000000000006,-0.0004248487994300502,0.43998092354819385,-0.0008496975988601004,0.4,0.671846,0.001017792847098166,0.7752583636713086,0.0014539897815688085,0.7,0.475858,-0.00018913426331913747,1.015622857760318,-0.00032609355744678877,0.7,0.583804,-0.0022994951188274127,1.4604197030450838,-0.003964646756598988,1.1,0.440647,-0.0029248509577996513,1.9189644449330243,-0.004365449190745748,1.3,0.434422,0.0015237736667004591,2.440284859958764,0.0032420716312775728,1.4,0.670596,0.0016537585303518071,2.9982240286633157,0.0031803048660611673,1.7,0.370922,-0.0029504741297708002,3.5139096241431305,-0.004403692731001194,1.9,0.46028,0.0015109987078345407,3.935147267984827,0.00236093548099147,1.8,0.359828,0.0,4.547192936195738,0.0,2.3,0.388752
42.0,-0.0004074718327477609,0.4399815975870018,-0.0008149436654955218,0.4,0.671846,0.00101101302655874,0.775840780181665,0.001444304323655343,0.7,0.475858,-0.0001882845948270513,1.0170654577506775,-0.0003246286117707781,0.7,0.583804,-0.0023066609988197087,1.4629429947148025,-0.003977001722102946,1.1,0.440647,-0.0029163136302514745,1.9229131284042977,-0.004352706910823096,1.3,0.434422,0.0015502979732006867,2.446231617905521,0.003298506325958908,1.4,0.670596,0.0016229704283006678,3.0063450582002353,0.003121096977501284,1.7,0.370922,-0.0029480283048569805,3.524381211103515,-0.004400042246055194,1.9,0.46028,0.0015175566147763915,3.9484426300211504,0.0023711822105881115,1.8,0.359828,0.0,4.563337948881825,0.0,2.3,0.388752
42.1,-0.0003877137873594576,0.43998238682048285,-0.0007754275747189152,0.4,0.671846,0.0010043584079980296,0.7764101711964747,0.0014347977257114708,0.7,0.475858,-0.00018719339184285476,1.0184770066774893,-0.00032274722731526683,0.7,0.583804,-0.002313409782813202,1.4654141947122732,-0.003988637556574487,1.1,0.440647,-0.002907810041524376,1.9267829151820512,-0.004340014987349815,1.3,0.434422,0.0015760064285879477,2.452063103528608,0.0033532051672083996,1.4,0.670596,0.0015923182837590038,3.0143134608028803,0.0030621505456903918,1.7,0.370922,-0.0029438919109269013,3.534661579381961,-0.0043938685237714945,1.9,0.46028,0.0015206651159639076,3.961501743730764,0.0023760392436936056,1.8,0.359828,0.0,4.579204874678008,0.0,2.3,0.388752
42.2,-0.00036576752363535873,0.43998328465859105,-0.0007315350472707175,0.4,0.671846,0.0009978351364578015,0.7769659702905889,0.0014254787663682878,0.7,0.475858,-0.00018586333261226995,1.0198560100079053,-0.00032045402174529303,0.7,0.583804,-0.0023197369558125456,1.4678305325126633,-0.003999546475538872,1.1,0.440647,-0.0028993635903426683,1.9305692938690917,-0.004327408343795027,1.3,0.434422,0.0016008761563126792,2.457772295514746,0.003406119481516339,1.4,0.670596,0.0015618698155190477,3.0221193458256925,0.0030035957990750916,1.7,0.370922,-0.002938179852522525,3.5447376331049294,-0.004385343063466455,1.9,0.46028,0.0015205130327910054,3.9743075913960895,0.002375801613735946,1.8,0.359828,0.0,4.594772527771894,0.0,2.3,0.388752
42.300000000000004,-0.0003418371565353938,0.43998428385140614,-0.0006836743130707876,0.4,0.671846,0.000991449226981822,0.777507623926494,0.0014163560385454601,0.7,0.475858,-0.00018429731194428552,1.021201003257142,-0.00031775398611083713,0.7,0.583804,-0.0023256383923015585,1.4701892851189347,-0.00400972136603717,1.1,0.440647,-0.002890997985826192,1.9342678203012644,-0.004314922366904764,1.3,0.434422,0.0016248861885187194,2.4633522632668092,0.0034572046564228073,1.4,0.670596,0.0015316925371197912,3.029752931330183,0.002945562571384214,1.7,0.370922,-0.0029310129000052008,3.55459639733374,-0.004374646119410747,1.9,0.46028,0.0015173043806093918,3.986843285305425,0.0023707880947021745,1.8,0.359828,0.0,4.610019847762691,0.0,2.3,0.388752
42.400000000000006,-0.0003161360917240002,0.43998537655323516,-0.0006322721834480004,0.4,0.671846,0.000985206562957554,0.7780345920475121,0.0014074379470822203,0.7,0.475858,-0.00018249843845089087,1.022510553863155,-0.0003146524800877429,0.7,0.583804,-0.0023311103509360627,1.4724877811218866,-0.004019155777475971,1.1,0.440647,-0.0028827371508219368,1.9378741248219604,-0.004302592762420801,1.3,0.434422,0.0016480174812454457,2.468796179082451,0.0035064201728626505,1.4,0.670596,0.0015018534928690954,3.037204562361248,0.0028881797939790295,1.7,0.370922,-0.002922516831424855,3.5642250435231597,-0.004361965420037097,1.9,0.46028,0.0015112560844656093,3.99909210222866,0.0023613376319775144,1.8,0.359828,0.0,4.6249259444239526,0.0,2.3,0.388752
42.5,-0.0002888850416016028,0.43998655439031575,-0.0005777700832032056,0.4,0.671846,0.0009791128944909991,0.7785463486612553,0.0013987327064157132,0.7,0.475858,-0.00018047003184717313,1.0237832630382464,-0.00031115522732271233,0.7,0.583804,-0.0023361494690841097,1.4747234047363051,-0.004027843912213983,1.1,0.440647,-0.0028746051241830863,1.9413839195512592,-0.0042904554092284865,1.3,0.434422,0.001670252917918733,2.4740973303786054,0.0035537296125930495,1.4,0.670596,0.0014724190030605344,3.0444647293706684,0.002831575005885643,1.7,0.370922,-0.002912821564269258,3.5736109152859425,-0.0043474948720436685,1.9,0.46028,0.0015025956568760072,4.011037518433345,0.002347805713868761,1.8,0.359828,0.0,4.639470143335251,0.0,2.3,0.388752
42.6,-0.00026031005247103135,0.4399878085309284,-0.0005206201049420627,0.4,0.671846,0.0009731738367978099,0.7790423824117763,0.0013902483382825857,0.7,0.475858,-0.0001782156202942454,1.0250177675934136,-0.00030726831085214727,0.7,0.583804,-0.0023407527573012315,1.4768935998029593,-0.004035780616036606,1.1,0.440647,-0.002866625962512906,1.9447930056295293,-0.00427854621270583,1.3,0.434422,0.0016915773011633934,2.479249131925546,0.0035991006407731776,1.4,0.670596,0.0014434544201392813,3.0515240867299727,0.002775873884883233,1.7,0.370922,-0.0029020602857179013,3.5827415543789347,-0.004331433262265524,1.9,0.46028,0.0014915588759147561,4.0226632451233995,0.0023305607436168063,1.8,0.359828,0.0,4.65363203222464,0.0,2.3,0.388752
