t,S(t),C(t),A_spiral(t),E(t),L(t),cpu_step(t),effort(t),An_mean(t),fn_mean(t),variance_d2S,fluidity,entropy_S,mean_abs_error,mean_high_effort,d_effort_dt,t_retour,max_median_ratio,continuous_resilience,adaptive_resilience,temporal_coherence,tau_S,tau_gamma,tau_C,effort_status,En_mean(t),On_mean(t),gamma,gamma_mean(t),G_arch_used,In_mean(t),best_pair_gamma,best_pair_G,best_pair_score,tau_A_mean,tau_f_mean,decorrelation_time,autocorr_tau
2.8,-0.0360842730674,0.999989339513,-0.000565171787234,0.10488850649,9,6.09708e-05,1.41427433718,0.102813758107,2.59976503788,0.0755709993672,0.993292779482,0.585216410562,0.0405500773297,30.0922042817,-5.31204755263,0,4.75495833563,0.745883591213,1,0.841531973301,0.4,0.2,0.7,chronique,0.0444992249566,0.0199392089213,0.900047013889,0.919287565257,tanh,0.1,,,,0.337568229362,0.238329280764,0.4,0.736612789321
2.9,-0.0396395717942,0.999989437598,-0.000402506316457,0.103583095648,9,6.01791e-05,1.18887820974,0.101033694712,2.64761012114,0.0689702600195,0.993294035813,0.618164987732,0.0393994223112,30.0922042817,-2.25396127441,0,4.80776277899,0.746634482358,1,0.841531973301,0.4,0.2,0.7,chronique,0.0416444391747,0.0195476552862,1,0.990446080253,tanh,0.1,,,,0.316432451174,0.251787066677,0.4,0.736612789321
3,-0.00446259893389,0.999989611912,-0.000324156497641,0.103330007922,5,0.0001098708,89.1021216531,0.100725131068,2.71035239405,0.0687497562891,0.993294077777,0.585871760183,0.0379810876387,38.5221924776,879.132434434,0,5.0862138738,0.746316770969,1,0.841531973301,0.4,0.2,0.8,transitoire,0.0390438076801,0.0189274871472,0.1,0.102778713635,tanh,0.1,,,,0.29630326347,0.248599184255,0.4,0.736612789321
3.1,-0.00735496871609,0.999989860773,-0.000235528854818,0.102581158789,9,0.0001105167,6.14012807745,0.0998297739714,2.19795332747,0.106147245237,0.993286956799,0.561872846609,0.037340008559,38.5221924776,-829.619935757,0,5.23346460679,0.746877129991,1,0.842477960177,0.4,0.2,0.8,transitoire,0.0366536258839,0.0230041666936,0.158442323057,0.160940244248,tanh,0.1,,,,0.277683421269,0.282998298267,0.4,0.736991184071
3.2,-0.00567761279387,0.999990181307,-0.00111499272047,0.100321644865,5,0.0001107208,2.3835472073,0.0979771340225,2.2353200246,0.103907286781,0.993287383528,0.548889168691,0.0303029212225,38.5221924776,-37.5658087015,0,5.38949563545,0.746978848339,1,0.842936098507,0.4,0.2,0.8,transitoire,0.034828596631,0.0298581550533,0.181488417302,0.183006446624,tanh,0.1,,,,0.263099161422,0.245895831563,0.4,0.737174439403
3.3,-0.0110943734941,0.999990569422,-0.000949075095536,0.102664247077,5,0.0001109667,4.63471194903,0.100647973773,2.25255418477,0.110104118872,0.993286202918,0.550586219783,0.0296225257774,38.5221924776,22.5116474173,0,5.23346460679,0.74838977546,1,0.847603938098,0.4,0.2,0.8,transitoire,0.0337343893721,0.0257259827195,0.306961960572,0.308111659052,tanh,0.1,,,,0.268195871331,0.255883980694,0.4,0.739041575239
3.4,-0.0111936715289,0.999991019793,-0.00103769386155,0.101425632981,5,0.0001108666,3.84059240909,0.0995970395264,2.32884927961,0.0844516143701,0.993291088849,0.555320721911,0.0202245743595,38.5221924776,-7.94119539937,0,5.0862138738,0.749759823145,1,0.852048481829,0.4,0.2,0.8,transitoire,0.0324190290525,0.0259084299988,0.456962130078,0.459550615269,tanh,0.1,,,,0.265273140321,0.24721669327,0.4,0.740819392732
3.5,-0.0120010174849,0.99999152585,-0.000937126791153,0.102938178963,5,0.000110125,3.37903557632,0.101367218612,2.41941692487,0.0709338899296,0.993293662096,0.55922684063,0.016867225862,34.4744344276,-4.61556832774,0,4.80776277899,0.751211038135,1,0.856465954628,0.4,0.2,0.9,transitoire,0.0312498005471,0.0221726609593,0.628007264651,0.631346871464,tanh,0.1,,,,0.275402880126,0.234421801917,0.4,0.742586381851
3.6,-0.0152214279606,0.999992079787,-0.000814079359089,0.102848341313,9,0.000109775,0.814156797226,0.101364535408,2.52228853412,0.0640586066866,0.993294970505,0.572266290943,0.0265744448842,34.4744344276,-25.6487877909,0,4.55821750128,0.753030460093,1,0.86169931896,0.4,0.2,0.9,chronique,0.0298986333692,0.0182968811805,0.636703275415,0.641902300115,tanh,0.1,,,,0.276726300947,0.229548103892,0.4,0.744679727584
3.7,-0.0188226101768,0.999992672574,-0.00058371067583,0.101324006464,9,0.0001085833,2.46188073009,0.0995197948101,2.53100387127,0.0572864601283,0.993296259039,0.577065407455,0.0253916165837,34.4744344276,16.4772393286,0,4.52814573801,0.755041855551,1,0.867009326034,0.4,0.2,0.9,transitoire,0.0283725205267,0.0180411246587,0.805991356233,0.814231588315,tanh,0.1,,,,0.296888005362,0.237194973104,0.4,0.746803730414
